Cites,Authors,Title,Year,Source,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount
61,"B Shi, S Liu, J Chen, J Liu, Y Luo, L Long…",Sarcopenia is associated with perioperative outcomes in gastric cancer patients undergoing gastrectomy,2020,Annals of Nutrition and …,683,61,12.2,9,7
60,"WJ Evans, J Guralnik, P Cawthon, J Appleby, F Landi…","Sarcopenia: no consensus, no diagnostic criteria, and no approved indication—how did we get here?",2024,Geroscience,136,60,60,10,6
60,"S Sbrignadello, C Göbl, A Tura",Bioelectrical impedance analysis for the assessment of body composition in sarcopenia and type 2 diabetes,2022,Nutrients,146,60,20,20,3
60,"DP Lima, SB de Almeida, JC Bonfadini, JRG de Luna…",Clinical correlates of sarcopenia and falls in Parkinson's disease,2020,PLoS …,380,60,12,12,5
60,"X Fu, Z Tian, S Thapa, H Sun, S Wen, H Xiong, S Yu",Comparing SARC-F with SARC-CalF for screening sarcopenia in advanced cancer patients,2020,Clinical Nutrition,271,60,12,9,7
60,R Krzymińska-Siemaszko…,Comparison of diagnostic performance of SARC-F and its two modified versions (SARC-CalF and SARC-F+ EBM) in community-dwelling older adults from Poland,2020,… interventions in aging,939,60,12,30,2
60,"TM Manini, SM Patel, AB Newman…",Identification of sarcopenia components that discriminate slow walking speed: a pooled data analysis,2020,Journal of the …,116,60,12,15,4
60,"SL Bokshan, JM DePasse, AH Daniels",Sarcopenia in orthopedic surgery,2016,Orthopedics,904,60,6.67,20,3
59,"N Martínez-Luna, A Orea-Tejeda…","Association between body composition, sarcopenia and pulmonary function in chronic obstructive pulmonary disease",2022,BMC pulmonary …,139,59,19.67,20,3
59,"DDB Bates, PJ Pickhardt",CT-derived body composition assessment as a prognostic tool in oncologic patients: from opportunistic research to artificial intelligence–based clinical implementation,2022,American Journal of Roentgenology,83,59,19.67,30,2
59,"M Gobbi, E Bezzoli, F Ismelli, G Trotti…","Skeletal muscle mass, sarcopenia and rehabilitation outcomes in post-acute COVID-19 patients",2021,Journal of clinical …,459,59,14.75,12,5
59,"YL Lin, HH Liou, CH Wang, YH Lai, CH Kuo…",Impact of sarcopenia and its diagnostic criteria on hospitalization and mortality in chronic hemodialysis patients: A 3-year longitudinal study,2020,Journal of the Formosan …,280,59,11.8,10,6
59,"C Van Aller, J Lara, BCM Stephan, LM Donini…",Sarcopenic obesity and overall mortality: results from the application of novel models of body composition phenotypes to the National Health and Nutrition …,2019,Clinical Nutrition,200,59,9.83,12,5
59,"DR Mager, MW Carroll, E Wine, K Siminoski…",Vitamin D status and risk for sarcopenia in youth with inflammatory bowel diseases,2018,European Journal of …xxx,768,59,8.43,12,5
59,"E Poggiogalle, C Lubrano, L Gnessi, S Mariani…",Fatty liver index associates with relative sarcopenia and GH/IGF-1 status in obese subjects,2016,PloS one,832,59,6.56,12,5
59,"DY Xiao, S Luo, K O'Brian, A Ganti…",Impact of sarcopenia on treatment tolerance in United States veterans with diffuse large B‐cell lymphoma treated with CHOP‐based chemotherapy,2016,American journal of …,809,59,6.56,12,5
57,"O Wallengren, I Bosaeus, K Frändin, L Lissner…",Comparison of the 2010 and 2019 diagnostic criteria for sarcopenia by the European Working Group on Sarcopenia in Older People (EWGSOP) in two …,2021,BMC Geriatrics,531,57,14.25,11,5
57,"J Traub, I Bergheim, M Eibisberger, V Stadlbauer",Sarcopenia and liver cirrhosis—comparison of the European Working Group on Sarcopenia Criteria 2010 and 2019,2020,Nutrients,584,57,11.4,14,4
57,"YP Chen, PK Wong, MJ Tsai, WC Chang…",The high prevalence of sarcopenia and its associated outcomes following hip surgery in Taiwanese geriatric patients with a hip fracture,2020,Journal of the Formosan …,663,57,11.4,11,5
57,"DE Santo Silva, DL Waitzberg, RP de Jesus…",Phase angle as a marker for sarcopenia in cirrhosis,2019,Clinical nutrition …,730,57,9.5,14,4
57,"VR Santos, DGD Christofaro, IC Gomes…","Relationship between obesity, sarcopenia, sarcopenic obesity, and bone mineral density in elderly subjects aged 80 years and over",2018,Revista brasileira de …,508,57,8.14,14,4
57,"H Miyata, K Sugimura, M Motoori, Y Fujiwara…",Clinical assessment of sarcopenia and changes in body composition during neoadjuvant chemotherapy for esophageal cancer,2017,Anticancer …,712,57,7.13,11,5
57,"AC Montes, JA Boga, CB Millo, AR González…",Potential early biomarkers of sarcopenia among independent older adults,2017,Maturitas,964,57,7.13,11,5
57,"S Itoh, T Yoshizumi, K Kimura, H Okabe…",Effect of sarcopenic obesity on outcomes of living-donor liver transplantation for hepatocellular carcinoma,2016,Anticancer …,571,57,6.33,11,5
56,"F Rossi, F Valdora, B Bignotti, L Torri, G Succio…",Evaluation of body computed tomography-determined sarcopenia in breast cancer patients and clinical outcomes: a systematic review,2019,Cancer Treatment and …,570,56,9.33,9,6
56,"C Corallo, A Fioravanti, S Tenti, G Pecetti…","Sarcopenia in systemic sclerosis: the impact of nutritional, clinical, and laboratory features",2019,Rheumatology …,950,56,9.33,11,5
56,"Z DeFilipp, FM Troschel, DA Qualls, S Li…",Evolution of body composition following autologous and allogeneic hematopoietic cell transplantation: incidence of sarcopenia and association with clinical …,2018,Biology of Blood and …,288,56,8,11,5
56,"CA Pelletier, M Miyatani, L Giangregorio…",Sarcopenic obesity in adults with spinal cord injury: a cross-sectional study,2016,Archives of physical …,718,56,6.22,14,4
55,"PC Martins, CASA Junior, AM Silva, DAS Silva",Phase angle and body composition: A scoping review,2023,Clinical Nutrition ESPEN,625,55,27.5,14,4
55,"Y Sato, Y Yoshimura, T Abe",Phase angle as an indicator of baseline nutritional status and sarcopenia in acute stroke,2022,Journal of Stroke and Cerebrovascular …,290,55,18.33,18,3
55,"Q Yang, Y Zhang, Q Zeng, C Yang, J Shi…",Correlation between diabetic peripheral neuropathy and sarcopenia in patients with type 2 diabetes mellitus and diabetic foot disease: a cross-sectional study,2020,"Diabetes, Metabolic …",665,55,11,9,6
55,"S Low, KS Goh, TP Ng, SF Ang, A Moh, J Wang, K Ang…",The prevalence of sarcopenic obesity and its association with cognitive performance in type 2 diabetes in Singapore,2020,Clinical Nutrition,582,55,11,7,8
55,"T Munhoz da Rocha Lemos Costa, FM Costa…",Body composition and sarcopenia in patients with chronic obstructive pulmonary disease,2018,Endocrine,190,55,7.86,18,3
55,"F Urzi, B Šimunič, E Buzan",Basis for sarcopenia screening with the SARC-CalF in nursing homes,2017,Journal of the American Medical Directors …,334,55,6.88,18,3
55,"B Lardiés-Sánchez, A Sanz-París, J Pérez-Nogueras…",Influence of nutritional status in the diagnosis of sarcopenia in nursing home residents,2017,Nutrition,278,55,6.88,14,4
54,"G Lisco, OE Disoteo, A De Tullio, V De Geronimo…",Sarcopenia and diabetes: a detrimental liaison of advancing age,2023,Nutrients,373,54,27,11,5
54,"SA Purcell, M Mackenzie, TG Barbosa-Silva…",Prevalence of sarcopenic obesity using different definitions and the relationship with strength and physical performance in the Canadian longitudinal study of …,2021,Frontiers in Physiology,537,54,13.5,14,4
54,"RD Piovezan, C Hirotsu, R Moizinho…",Associations between sleep conditions and body composition states: results of the EPISONO study,2019,"Journal of Cachexia, Sarcopenia and Muscle",511,54,9,14,4
54,"D Sánchez-Rodríguez, A Calle, A Contra…",Sarcopenia in post-acute care and rehabilitation of older adults: a review,2016,European Geriatric …,583,54,6,14,4
53,"S Nowak, M Theis, BD Wichtmann, A Faron…",End-to-end automated body composition analyses with integrated quality control for opportunistic assessment of sarcopenia in CT,2022,European …,23,53,17.67,11,5
53,"A Karim, T Muhammad, R Qaisar",Prediction of sarcopenia using multiple biomarkers of neuromuscular junction degeneration in chronic obstructive pulmonary disease,2021,Journal of Personalized Medicine,527,53,13.25,18,3
53,"M Shirdel, F Andersson, R Myte, J Axelsson…","Body composition measured by computed tomography is associated with colorectal cancer survival, also in early-stage disease",2020,Acta …,275,53,10.6,11,5
53,"ERC Hagens, ML Feenstra…",Influence of body composition and muscle strength on outcomes after multimodal oesophageal cancer treatment,2020,"Journal of Cachexia, Sarcopenia and Muscle",744,53,10.6,18,3
53,"T Porcelli, F Maffezzoni, LC Pezzaioli…",Management of endocrine disease: male osteoporosis: diagnosis and management-should the treatment and the target be the same as for female osteoporosis?,2020,European Journal of …yyyy,987,53,10.6,13,4
53,"AC Meeks, J Madill",Sarcopenia in liver transplantation: a review,2017,Clinical nutrition ESPEN,827,53,6.63,27,2
53,"M Merli, S Dasarathy",Sarcopenia in non-alcoholic fatty liver disease: Targeting the real culprit?,2015,Journal of hepatology,357,53,5.3,27,2
52,"JG Letarouilly, RM Flipo, B Cortet…",Body composition in patients with rheumatoid arthritis: a narrative literature review,2021,Therapeutic …,874,52,13,13,4
52,"JC Wang, WT Wu, KV Chang, LR Chen, SY Chi…",Ultrasound imaging for the diagnosis and evaluation of sarcopenia: an umbrella review,2021,Life,360,52,13,9,6
52,"P Blanc-Durand, JB Schiratti, K Schutte…",Abdominal musculature segmentation and surface prediction from CT using deep learning for sarcopenia assessment,2020,Diagnostic and …,38,52,10.4,13,4
52,Y Ingenbleek,Plasma transthyretin as a biomarker of sarcopenia in elderly subjects,2019,Nutrients,887,52,8.67,52,1
52,"M Isaka, K Sugimoto, Y Yasunobe, H Akasaka…",The usefulness of an alternative diagnostic method for sarcopenia using thickness and echo intensity of lower leg muscles in older males,2019,Journal of the American Medical Directors Association,365,52,8.67,10,5
52,HC Jang,How to diagnose sarcopenia in Korean older adults?,2018,Annals of geriatric medicine and research,375,52,7.43,52,1
51,"JE Kim, J Choi, M Kim, CW Won",Assessment of existing anthropometric indices for screening sarcopenic obesity in older adults,2023,British Journal of Nutrition,233,51,25.5,13,4
51,"FM Zhang, HF Wu, HP Shi, Z Yu, CL Zhuang","Sarcopenia and malignancies: epidemiology, clinical classification and implications",2023,Ageing research reviews,400,51,25.5,10,5
51,"V Zambon Azevedo, CA Silaghi, T Maurel…",Impact of sarcopenia on the severity of the liver damage in patients with non-alcoholic fatty liver disease,2022,Frontiers in Nutrition,616,51,17,13,4
51,"C Giraudo, A Cavaliere, A Lupi…",Established paths and new avenues: a review of the main radiological techniques for investigating sarcopenia,2020,… imaging in medicine …,548,51,10.2,13,4
51,"X Dong, X Dan, A Yawen, X Haibo, L Huan…",Identifying sarcopenia in advanced non‐small cell lung cancer patients using skeletal muscle CT radiomics and machine learning,2020,Thoracic …,19,51,10.2,9,6
51,"A Ciudin, A Simó-Servat, F Palmas…",Sarcopenic obesity: a new challenge in the clinical practice,2020,"… , Diabetes y Nutrición …",377,51,10.2,13,4
51,"C Jeng, LJ Zhao, K Wu, Y Zhou, T Chen…",Race and socioeconomic effect on sarcopenia and sarcopenic obesity in the Louisiana Osteoporosis Study (LOS),2018,JCSM clinical …,530,51,7.29,9,6
51,"WAG Cortés, FEM Fernández…","Sarcopenia, una patología nueva que impacta a la vejez",2018,Revista Colombiana …,998,51,7.29,17,3
50,"S Bedrikovetski, W Seow, HM Kroon, L Traeger…",Artificial intelligence for body composition and sarcopenia evaluation on computed tomography: a systematic review and meta-analysis,2022,European journal of …zzzz,3,50,16.67,10,5
50,"YC Ko, WC Chie, TY Wu, CY Ho, WR Yu",A cross-sectional study about the relationship between physical activity and sarcopenia in Taiwanese older adults,2021,Scientific Reports,780,50,12.5,10,5
50,"VMH Tan, BWJ Pang, LK Lau, KA Jabbar…",Malnutrition and sarcopenia in community-dwelling adults in Singapore: Yishun health study,2021,"The Journal of Nutrition, Health and Aging",914,50,12.5,10,5
50,"G Shafiee, R Heshmat, A Ostovar, F Khatami…",Comparison of EWGSOP-1and EWGSOP-2 diagnostic criteria on prevalence of and risk factors for sarcopenia among Iranian older people: the Bushehr Elderly Health …,2020,Journal of Diabetes & …,556,50,10,10,5
50,"JR da Silva Jr, EVM Wiegert, L Oliveira, L Calixto-Lima",Different methods for diagnosis of sarcopenia and its association with nutritional status and survival in patients with advanced cancer in palliative care,2019,Nutrition,445,50,8.33,13,4
50,"A Kroh, D Uschner, T Lodewick, RM Eickhoff…",Impact of body composition on survival and morbidity after liver resection in hepatocellular carcinoma patients,2019,… & Pancreatic Diseases …,672,50,8.33,10,5
50,"ÁA Csontos, A Molnár, Z Piri, E Pálfi…",Malnutrition risk questionnaire combined with body composition measurement in malnutrition screening in inflammatory bowel disease,2017,Revista Española de …,569,50,6.25,10,5
50,"YH Wu, AC Hwang, LK Liu, LN Peng…",Sex differences of sarcopenia in Asian populations: the implications in diagnosis and management,2016,Journal of Clinical …,120,50,5.56,10,5
49,"H Xie, L Wei, M Liu, G Yuan, S Tang, J Gan",Preoperative computed tomography-assessed sarcopenia as a predictor of complications and long-term prognosis in patients with colorectal cancer: a systematic …,2021,Langenbeck's Archives of …,716,49,12.25,8,6
49,"LL Kuan, AR Dennison, G Garcea",Prevalence and impact of sarcopenia in chronic pancreatitis: a review of the literature,2021,World journal of surgery,611,49,12.25,16,3
49,"TL da Silva, VSCS Nogueira, AP Mulder",Sarcopenia and poor muscle quality associated with severe obesity in young adults and middle-aged adults,2021,Clinical Nutrition ESPEN,450,49,12.25,16,3
49,"R Matsuzawa, S Yamamoto, Y Suzuki, K Imamura…",The clinical applicability of ultrasound technique for diagnosis of sarcopenia in hemodialysis patients,2021,Clinical Nutrition,340,49,12.25,10,5
49,"S Uemura, T Iwashita, H Ichikawa, Y Iwasa…",The impact of sarcopenia and decrease in skeletal muscle mass in patients with advanced pancreatic cancer during FOLFIRINOX therapy,2021,British Journal of …,328,49,12.25,10,5
49,"Y Yoshimura, H Wakabayashi, F Nagano, T Bise…",Sarcopenic obesity is associated with activities of daily living and home discharge in post-acute rehabilitation,2020,Journal of the American Medical Directors Association,210,49,9.8,10,5
